telling  ;datum;naxxyyzzinventarisnummer;naxxyyzzfolioxxyyzznummer;scheepsnaam;scheepstype;plaatsxxyyzzparthesius;lokatie;aantalxxyyzzpersonen;aantalxxyyzzzeevarendenxxyyzzeuropees;aantalxxyyzzzeevarendenxxyyzzaziatisch;aantalxxyyzzsoldatenxxyyzzeuropees;aantalxxyyzzsoldatenxxyyzzaziatisch;aantalxxyyzzoverig;azxxyyzzaantalxxyyzzvoorman;azxxyyzzaantalxxyyzzvoormansmaat;azxxyyzzaantalxxyyzzkok;azxxyyzzaantalxxyyzzmatrozen;azxxyyzzaangenomenxxyyzzplaats;azxxyyzzaangenomenxxyyzzparthesius;azxxyyzzaangenomenxxyyzzjaar;azxxyyzzaangenomenxxyyzzjaarxxyyzznorm;azxxyyzzaanduidingxxyyzzmatrozen;azxxyyzzaanduidingxxyyzzvoorman;azxxyyzzloonxxyyzzvoorman;azxxyyzzloonxxyyzzvoormansmaat;azxxyyzzloonxxyyzzkok;azxxyyzzloonxxyyzzmatrozen;azxxyyzzregistratiexxyyzzwijze;azxxyyzzregistratiexxyyzzkop;azxxyyzzregistratiexxyyzzopmerking;asxxyyzzaangenomenxxyyzzplaats;asxxyyzzaangenomenxxyyzzjaar;asxxyyzzaanduidingxxyyzzsoldaten;asxxyyzzaanduidingxxyyzzvoorman;asxxyyzzloonxxyyzzhoofd;asxxyyzzloonxxyyzzcorporaal;asxxyyzzloonxxyyzzsoldaat;asxxyyzzregistratiexxyyzzwijze;asxxyyzzregistratiexxyyzzkop;asxxyyzzregistratiexxyyzzopmerking;opmerkingen;voornaam;tussenvoegsel;achternaam;geboorteplaats;aankomstxxyyzzazie;notitie;dasxxyyzzlinkxxyyzzheen;dasxxyyzzlinkxxyyzzterug
63;1692;11708;16;De Groote Visserij;Schip;79;Batavia, ter rede;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1542.2;
64;1692;11708;19;Honsholredijk;Schip;79;Batavia, ter rede;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1603.4;
65;1692;11708;23;Domburgh;Schip;79;Batavia, ter rede;78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1623.1;5982.1
66;1692;11708;26;De Zion;Schip;79;Batavia, ter rede;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1621.3;5910.3
67;1692;11708;29;De Leck;Schip;79;Batavia, ter rede;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1617.2;5926.2
68;1692;11708;32;Nederlandt;Schip;79;Batavia, ter rede;75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1618.2;5907.2
69;1692;11708;36;Pampus;Schip;79;Batavia, ter rede;58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1610.2;5915.2
70;1692;11708;38;De Schelde;Schip;79;Batavia, ter rede;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1613.3;
71;1692;11708;41;Brandenburgh;Schip;79;Batavia, ter rede;67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1607.1;5923.1
72;1692;11708;44;Het Kasteel Batavia;Schip;79;Batavia, ter rede;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;1692;11708;46;De Purmer;Schip;79;Batavia, ter rede;80;54;26;;;;2;;;24;Bengalen;44;1692;1692;Moors matroos;Moors bootsman (2);12;;10.5;7.5;Achternamen;;Onderaan bemanningslijst;;;;;;;;;;;;Willem;;Willemsz Vrij?;Amsterdam;De Purmer 1692;NB: Ervaren opperstuurman Jan Vrijtrover (? 48 g Europa? 1678?);1620.3;5919.3
74;1692;11708;50;Castricum;Schip;79;Batavia, ter rede;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1562.2;
75;1692;11708;60;Cronenburg;Schip;79;Batavia, ter rede;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1583.3;
76;1692;11708;52;Sillida;Jagt;79;Batavia, ter rede;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1550.2;
77;1692;11708;53;De Beurs van Amsterdam;Jagt;79;Batavia, ter rede;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1515.2;
78;1692;11708;55;De Coning van Bantham;Jagt;79;Batavia, ter rede;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;1692;11708;60;Walenburg;Fluijt;79;Batavia, ter rede;61;51;11;;;;;;;11;In India aangenomen;40;1692;1692;Moors matroos;Niet;;;;7.5;Voornamen;;Achtervoegsels Mahomet;;;;;;;;;;;;Albert;;Buchon;Rotterdam;Den Eenhoorn 1690;NB: Ervaren opperstuurman Michuel de Keijser (Camperveer, 48 g, De Spaarpot 1684), onderstuurman Cornelis Jansz Valck (Delfshaven, 32 g, De Zion 1689);1486.1;
80;1692;11708;62;De Hantboogh;Fluijt;79;Batavia, ter rede;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1609.2;5912.2
81;1692;11708;65;Adrichem;Fluijt;79;Batavia, ter rede;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1491.2;
82;1692;11708;67;Nadermeer;Fluijt;79;Batavia, ter rede;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;1692;11708;69;Egelenburgh;Fluijt;79;Batavia, ter rede;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1411.1;
84;1692;11708;71;De Grijpvogel;Jagt;79;Batavia, ter rede;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;1692;11708;72;Het Huijs ter Spijk;Fluijt;72;Bantam;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1507.2;
86;1692;11708;75;Coevorden;Schip;11;Maijo;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1518.3;
87;1692;11708;78;De Zeijst;Jagt;84;Makassar;69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1402.1;
88;1692;11708;83;Bronstee;Fluijt;85;Amboina;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1516.1;
89;1692;11708;85;Het Haantje;Fluijt;85;Amboina;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1589.1;
90;1692;11708;86;Hendrik Maurits;Schip;86;Banda;103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1538.6;
91;1692;11708;90;Jambij;Jagt;86;Banda;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1517.2;
92;1692;11708;92;De Stantvastigheit;Jagt;37;Cochin;42;35;7;;;;;;;7;"Cochin; Batavia; Zee";12;;;Inlands matroos;Niet;;;;8;Voornamen met herkomst;;Gedeeltelijk dezelfde voorgaand jaar op zelfde schip;;;;;;;;;;;;Jacob;;Architsz Ossloot;Rotterdam;Schielant 1685;NB: Ervaren stuurman Willem Cornelisz van der Sloot (Rotterdam, 36 g, De Maas 1685), derdewaak Jan Jacobsz Salvis (Amsterdam, 26 g, Waterlant 1687);;
93;1692;11708;94;Schiebroek;Jagt;43;Nagapatnam;36;29;7;;;;;;;7;India;40;1691;1691;Matroos;Niet;;;10;7.5;Achternamen;Inlanders of swarten;;;;;;;;;;;;;Jacobus;;Uithuijsen;Uijthuijsen;;NB: Ervaren bootsman Jurriaen Jansz (Embden, 22 g, De Voetboog 1689), stuurman Abraham Hermansz (Adam, 24 g, Chillida 1688);1534.3;5921.3
94;1692;11708;96;Backer;Fluijt;43;Nagapatnam;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;1692;11708;97;Het Claverblad;Fluijt;43;Nagapatnam;36;24;12;;;;1;;;11;Bengalen;44;1692;1692;Moors matroos;Moors Sarang;12;;10.5;7.5;Voornamen. Achternamen bij Toepassen koks;Mooren;"TEVENS: Cock en cocksmaat onder kop 'Toepassen' (Alexander Rosairo van Bengalen, cock, 10.10, in india aangenomen 1692; Jan de Rodrigo van Bengalen, cocksmaat, 7.10, in india aangenomen 1692)";;;;;;;;;;;;Dirk;;Martensz Verdoes;Delfshaven;;NB: Ervaren onderstuurman Jan Boon (Adam, 32 g, Bantam 1687), hoogbootsman Marinus Snelder (?, 22 g, Oosterlant 1688);1512.1;
96;1692;11708;99;Zalland;Schip;43;Nagapatnam;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1578.2;
97;1692;11708;102;Dreghterlandt;Schip;43;Nagapatnam;74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1577.1;5906.1
98;1692;11708;105;Wijk op Zee;Jagt;44;Bengalen;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;1692;11708;107;Eemland;Jagt;44;Bengalen;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1545.2;
100;1692;11708;110;Bovencarspel;Fluijt;44;Bengalen;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1459.1;
101;1692;11708;111;Emmenes;Fluijt;44;Bengalen;28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1608.3;5911.3
102;1692;11708;112;Zaamslagh;Schip;44;Bengalen;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1625.2;
103;1692;11708;115;De Helden;Schip;44;Bengalen;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;1692;11708;117;Holre;Fluijt;32;Gamron;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1590.2;
105;1692;11708;121;Berchel;Schip;93;Siam;56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1614.1;5913.1
106;1692;11708;124;Oosthuijsen;Fluijt;93;Siam;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1619.2;5914.2
107;1692;11708;81;De Gideon;Fluijt;15;Zee;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1462.1;
108;1692;11708;119;Boswijck;Jagt;15;Zee;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1496.1;
109;1693;11709;1;Goudestijn;Schip;79;Batavia;72;72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1649.5;
110;1693;11709;4;Hendrik Maurits;Schip;79;Batavia;85;85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1538.6;
111;1693;11709;8;Bantam;Schip;79;Batavia;118;118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1643.4;5922.4
112;1693;11709;14;Waddinxveen;Schip;79;Batavia;130;130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1648.1;5939.1
113;1693;11709;19;Coeverden;Schip;79;Batavia;59;59;;;;;;;;;;;;;;;;;;;;;Jongen voor 6 gulden gage  in India aangenomen (in 1689): 'Maximiliaan Waxoy van Macassar'. Ook jongen voor 9 gulden gage: 'Francoijs Kebeko van Ceijlon';;;;;;;;;;;;;;;;;;1518.3;
114;1693;11709;22;De Sint Nicolaas;Jagt;79;Batavia;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;1693;11709;23;De Schaapharder;Jagt;79;Batavia;19;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1653.2;
116;1693;11709;24;Egelenburg;Fluijt;79;Batavia;32;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1411.1;
117;1693;11709;26;De Peperthuijn;Jagt;79;Batavia;19;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;1693;11709;27;Sint Maartensdijk;Jagt;79;Batavia;48;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1521.2;
119;1693;11709;29;Walenburg;Fluijt;79;Batavia;37;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1486.1;
120;1693;11709;31;Sparwoude;Fluijt;79;Batavia;43;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1435.2;
121;1693;11709;33;Langewijck;Fluijt;79;Batavia;55;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1652.5;
122;1693;11709;36;Hobree;Fluijt;79;Batavia;51;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1590.2;
123;1693;11709;39;De Belois;Fluijt;79;Batavia;61;46;15;;;;;;;15;;;;;15 Bengaalse matroossen;;;;;5.10?;Per groep;;Per groep: '15 Bengaalse matroossen verdienen te samen 77 gulden';;;;;;;;;;;;Jan;;Barents;Amsterdam;Aang. Belois 1693, kamer Delft;;1642.2;5950.2
124;1693;11709;41;Saamslagh;Jagt;79;Batavia;61;61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1625.2;
125;1693;11709;44;Den Ijzelt;Fluijt;79;Batavia;68;57;11;;;;1;;;10;In India aangen.;40;1693;1693;Moors matroos;Moors bootsman;12;;;7.5;Voornamen;Inlanders;;;;;;;;;;;;;Jan;;Clijnheus;Amsterdam;Aang. Den Ijzel 1692, kamer Adam;;1630.1;5955.1
126;1693;11709;47;Vosmaar;Schip;79;Batavia;90;90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1650.1;5938.1
127;1693;11709;51;Civet Cat;Fluijt;15;Zee;43;33;10;;;;1;;;9;In India aangen.;40;1693;1693;Moors matroos;Moors bootsman;12;;;7.5;Voornamen;Inlanders;;;;;;;;;;;;;Hans;;Toostenvermunter???;Amsterdam;Aang. Orangie 1657, kamer Amsterdam;;1406.1;
128;1693;11709;53;Cortgene;Schip;15;Zee;88;88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1597.5;
129;1693;11709;57;Gaasperdam;Jagt;15;Zee;33;33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1445.1;
130;1693;11709;58;De Groote Visserij;Schip;15;Zee;87;87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1542.2;
131;1693;11709;62;Bronstee;Schip;15;Zee;36;36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1516.1;
132;1693;11709;64;Bossenburgh;Fluijt;41;Tutecorijn;38;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1626.2;
133;1693;11709;66;Bombaria;Jagt;41;Tutecorijn;58;43;15;;;;1;;;14;In India aangenomen;40;1691;1691;Toepaas matroos;Serang in Bengalen;13;;;8;Achternamen;Inlanders;Aangeduid als Toepaas (in plaats van herkomstplaats), hoger loon dan Moorse matrozen.;;;;;;;;;;;;Pieter;;Lourensz de Koude?;Middelburg;Aang. Bovenland, 1682, kamer Zeeland;;;
